date,transaction_type,investor_type,value
2000-05-01,net,Foreign Individuals,-5085428.0
2000-06-01,net,Foreign Individuals,-3562710.0
2000-07-01,net,Foreign Individuals,16958074.0
2000-08-01,net,Foreign Individuals,1594746.0
2000-09-01,net,Foreign Individuals,-5817507.0
2000-10-01,net,Foreign Individuals,823684.0
2000-11-01,net,Foreign Individuals,14052387.0
2000-12-01,net,Foreign Individuals,1449087.0
2001-01-01,net,Foreign Individuals,-40788135.0
2001-02-01,net,Foreign Individuals,-1025100.0
2001-03-01,net,Foreign Individuals,4539020.0
2001-04-01,net,Foreign Individuals,-39203.0
2001-05-01,net,Foreign Individuals,2833710.0
2001-06-01,net,Foreign Individuals,3495841.0
2001-07-01,net,Foreign Individuals,11925488.0
2001-08-01,net,Foreign Individuals,1963678.0
2001-09-01,net,Foreign Individuals,935405.0
2001-10-01,net,Foreign Individuals,-46641688.0
2001-11-01,net,Foreign Individuals,34304569.0
2001-12-01,net,Foreign Individuals,-8182783.0
2002-01-01,net,Foreign Individuals,126120446.5
2002-02-01,net,Foreign Individuals,86693705.0
2002-03-01,net,Foreign Individuals,785103886.0
2002-04-01,net,Foreign Individuals,51566493.0
2002-05-01,net,Foreign Individuals,44593327.0
2002-06-01,net,Foreign Individuals,-17614336.0
2002-07-01,net,Foreign Individuals,88788508.0
2002-08-01,net,Foreign Individuals,1100813256.0
2002-09-01,net,Foreign Individuals,-28180493.0
2002-10-01,net,Foreign Individuals,35596647.0
2002-11-01,net,Foreign Individuals,28132187.0
2002-12-01,net,Foreign Individuals,676252.0
2003-01-03,net,Foreign Individuals,276630333.0
2003-02-03,net,Foreign Individuals,2404264.0
2003-03-03,net,Foreign Individuals,3548712.0
2003-04-03,net,Foreign Individuals,-14073174.0
2003-05-03,net,Foreign Individuals,797158230.0
2003-06-03,net,Foreign Individuals,11023171.0
2003-07-03,net,Foreign Individuals,61066264.0
2003-08-03,net,Foreign Individuals,44964081.0
2003-09-03,net,Foreign Individuals,-1635130314.0
2003-10-03,net,Foreign Individuals,-50293022.0
2003-11-03,net,Foreign Individuals,216359786.0
2003-12-03,net,Foreign Individuals,78033731.0
2004-01-03,net,Foreign Individuals,-49688019.0
2004-02-03,net,Foreign Individuals,73488446.0
2004-03-03,net,Foreign Individuals,58991125.0
2004-04-03,net,Foreign Individuals,-22362957.0
2004-05-03,net,Foreign Individuals,21064578.0
2004-06-03,net,Foreign Individuals,-235656824.0
2004-07-03,net,Foreign Individuals,194713322.0
2004-08-03,net,Foreign Individuals,10096830.0
2004-09-03,net,Foreign Individuals,186628202.0
2004-10-03,net,Foreign Individuals,-74536079.0
2004-11-03,net,Foreign Individuals,-105290930.0
2004-12-03,net,Foreign Individuals,335662149.0
2005-01-03,net,Foreign Individuals,733702.0
2005-02-03,net,Foreign Individuals,-251636651.0
2005-03-03,net,Foreign Individuals,-157713558.0
2005-04-03,net,Foreign Individuals,20890005.0
2005-05-03,net,Foreign Individuals,-65553278.0
2005-06-03,net,Foreign Individuals,-70365947.0
2005-07-03,net,Foreign Individuals,122309862.0
2005-08-03,net,Foreign Individuals,-94060066.0
2005-09-03,net,Foreign Individuals,583092147.0
2005-10-03,net,Foreign Individuals,-504989207.0
2005-11-03,net,Foreign Individuals,1363490096.0
2005-12-03,net,Foreign Individuals,344365232.0
2006-01-03,net,Foreign Individuals,698004000.0
2006-02-03,net,Foreign Individuals,70132645.0
2006-03-03,net,Foreign Individuals,402350982.0
2006-04-03,net,Foreign Individuals,273877935.0
